1567441-4826 	 munkaterület
1568510-16, 1631 	 gazdasági@méretosztály
1568516-3606, 6416 	 alapkutatás
1568525-4821 	 általános@teherhajó
1568628-2841 	 Betegségek@és@az@egészséggel@kapcsolatos@problémák@nemzetközi@statisztikai@osztályozása
1568644-1631 	 naptári@év
1568679-16 	 versenyképesség
1568698-1631 	 kovariancia-analízis
1568703-2841, 5631 	 jelentendő@betegség
1568712-2836, 4411 	 részlegesen@munkanélküli@személy
1568716-1631, 48, 4816, 56, 6411 	 mezőgazdasági@statisztika
1568722-2816 	 élveszületés
1568724-2816, 2841 	 várható@élettartam
1568726-1626, 2026, 2826 	 életszínvonal
1568773-4826 	 polgári@repülés
1568826-04, 1016 	 uniós@tagállam
1568840-2841, 5631 	 anyaállatok@elhullási@aránya
1568854-2446, 44 	 nettó@jövedelem
1568869-1631, 2816, 4411 	 gazdaságilag@inaktív@népesség
1568873-4816 	 haszonjármű
1568897-16, 1631 	 utazási@csomag
1568899-2416, 2836, 4421 	 nyugdíjalap
1568904-1631 	 természetes@népmozgalom
1568929-16, 2451 	 áralkalmazkodás
1568957-1626, 1631 	 termelési@számla
1568992-1631, 36 	 regressziós@egyenes
1569022-1631 	 szezonális@kiigazítás
1569034-3611 	 társadalmi@rétegződés
1569062-1631, 36 	 konfidenciahatárok
1569070-2821 	 társadalmi@mobilitás
1569071-1631, 3611 	 társadalomstatisztika
1569084-1231 	 állampolgárság
1569115-0436, 2826 	 halottvizsgálati@bizonyítvány
1569120-1631, 2816, 5631 	 szokatlan@arányú@mortalitás
1569123-2446 	 pénzügyi@év
1569134-1631, 24, 2446 	 adózó
1569143-1631, 36 	 mintanagyság
1569167-1631 	 táblázat
1569179-1631 	 részsokaság
1569186-1631 	 halálokokra@vonatkozó@statisztika
1569202-2836 	 túlélő@hozzátartozó
1569205-1631, 2016 	 túlkereslet
1569241-1631, 6811 	 részminta
1569253-2026 	 fogyasztói@magatartás
1569262-4816 	 ellenszolgáltatás@fejében@végzett@szállítás
1569282-1631, 2431 	 biztosítási@díj
1569296-1631, 5626, 5631 	 állatállomány
1569308-1631 	 volumenindex
1569337-2811, 2816 	 vándorlási@mérleg
1569384-16 	 ágazat
1569407-1631 	 népszámlálás
1569447-2826, 2836, 4406 	 munkanélküliségi@biztosítás
1569452-3221, 3226, 3231 	 diagram
1569465-1631, 2841 	 incidencia
1569466-1631, 2816, 2841 	 mortalitás
1569467-12, 16, 2436, 4026 	 állami@szektor
1569469-6411, 68 	 minőség-ellenőrzés
1569483-1631, 3231 	 ábra
1569933-1631, 36, 6416 	 korrelációs@mátrix
1569936-1631, 36 	 megfelelési@táblázat
1570007-1631, 36 	 decilis
1570186-1631, 36 	 becslési@hiba
1570196-1631 	 becslés
1570255-2816 	 termékenységi@arányszám
1570354-1631 	 mozgó@mértani@átlag
1570714-1631, 36 	 lineáris@regresszió
1570752-2016, 2026, 6406 	 tétel
1570865-1631, 2841, 36, 56 	 tipikus@érték
1571029-1631 	 egyoldalú@próba
1571113-3606 	 százalékpont
1571159-1631, 5606 	 gazdaságszerkezeti@felmérés
1572316-1631 	 válaszmegtagadási@arány
1572532-1626, 1631, 4026, 4421 	 bérek@és@keresetek
1572533-16, 1631, 44 	 alkalmazotti@létszám
1572540-0436, 1631, 6611 	 ásványinyersanyag-kitermelő@ipar
1572742-5621 	 szántóterület
1572752-3606, 5631 	 árpa
1572803-5631 	 len
1572827-52, 5606, 5611, 5621 	 állandó@gyepterület
1572831-5606, 5621 	 állandó@legelő
1572842-1631, 5606, 5621 	 konyhakert
1572863-3606, 6006 	 mangold
1572875-3606 	 orvosi@rebarbara
1572896-3606, 6006 	 cékla
1572898-3606, 6006 	 retek
1572961-3606, 5631, 6006 	 pomelo
1572977-3606, 5211, 5631 	 kukorica
1572978-2011, 6006 	 hántolatlan@rizs
1572982-6006 	 „@cargo@”@rizs
1572990-6006 	 törmelék@rizs
1572994-6021, 6811 	 melasz
1573013-5631, 6011 	 méz
1573037-7206 	 Európa
1573041-7221 	 Afrika
1573112-3606, 6826 	 áram
1573148-6841 	 lábbeli
1573167-16, 1631 	 áruk@és@szolgáltatások
1573172-24 	 befektetési@jövedelem
1573190-6811 	 arany
1573306-1011, 6411 	 megfelelőségi@tanúsítvány
1573328-3236 	 adathordozó
1573339-4416, 4806 	 ellenőrzőkártya
1573437-3236 	 operatív@tár
1573501-3236 	 alaplap
1573503-2831, 3206 	 többnyelvűség
1573682-6026, 6811 	 érzékszervi
1573699-1631, 2841 	 prevalencia
1573703-2841 	 hiányos@táplálkozás
1573705-2841 	 alultápláltság
1573709-2841 	 túltápláltság
1573712-2841, 5631, 6811 	 sorvadás
1573765-2841 	 kisétkezés
1573766-2826, 6031 	 vendéglátás
1573791-2841 	 élelmiszermérleg
1573879-3226 	 mozgószolgálat
1573882-3236 	 mikrocella
1573905-3226 	 nemzetközi@mobil-előfizetői@azonosító
1573924-3226 	 rádióinterfész
1573965-0436, 3226, 3236 	 bázisállomás
1573980-3226 	 világméretű@mobiltávközlő@rendszer
1574074-6411 	 vizsgálati@program
1574092-3226 	 rádióállomás
1574093-3226, 3236 	 földi@állomás
1574094-3226 	 földi@mozgóállomás
1574095-3226, 4826 	 földi@telepítésű@földi@állomás
1574096-3226 	 bázis@földi@állomás
1574097-3226 	 földi@mozgó@földi@állomás
1574387-3226 	 Gauss-szűrésű@frekvenciabillentyűzés
1574543-3226, 3606, 6621, 6826 	 galvanikus@szigetelés
1574750-3226 	 fedélzetről@leadott@adattovábbítás
1574971-3226 	 kiosztott@frekvenciasáv
1574975-2031 	 árverés
1574977-2826 	 lottójáték
1574982-3226, 3236 	 frekvenciaosztásos@többszörös@hozzáférés
1574987-10 	 zöld@könyv
1574990-3226, 4826 	 földközeli@pályán@keringő@műhold
1574994-3226 	 mobilhálózat-üzemeltető
1575013-1016, 3226, 6411 	 földi@trönkölt@rádió@rendszer
1575024-0436 	 nemzeti@szabályozó@hatóság
1575052-3226, 3236 	 mobil@alkalmazási@rész
1575094-3226, 3236 	 elosztószekrényig@vezetett@üvegszálas@hálózat
1575095-3226 	 otthoni@üvegszálas@internetkapcsolat
1575102-16, 3226, 40, 6411 	 egyetemes@szolgáltatás
1575104-3226 	 egyetemes@szolgáltatási@kötelezettség
1575197-3226 	 PIN-kód
1575432-2026 	 egyetlenhiba-állapot
1575548-3226 	 hazai@hálózat
1575656-3606, 6411 	 tercsáv
1575935-2846, 66, 6831 	 mért@hőteljesítmény
1575982-6811 	 bepárló
1576137-3236, 3611 	 indokolás
1576525-3606, 6626 	 diffúz@visszaverődés
1576643-16, 6831 	 regionális@gazdaságpolitika
1577102-6811 	 kationos@festék
1578473-6811 	 triklór-ecetsav
1579218-6821 	 csatlakozógyűrű
1581369-6611, 6816, 6836 	 pelletálás
1581762-2421 	 utólagos@valós@adat
1581851-12 	 mulasztás@megállapítása@iránti@kereset
1582136-3236 	 tényszerű@adat
1582226-20 	 raktáráruházi@értékesítés
1582439-6626, 6826 	 kristályos@szilícium
1582697-2841, 4416 	 nyílt@rendszerű@légzőkészülék
1582783-1626, 2821, 2841 	 többszörös@depriváció
1583779-5216, 6616 	 tárolótelep
1583815-6811 	 meghatározás
1583817-6811 	 csapadék
1583834-52, 5206 	 biológiai@lebonthatóság
1583850-6811 	 elválasztó@tölcsér
1584004-6036 	 kalcium-szilikát
1584186-52, 6411 	 fűtési@foknap
1584243-2841 	 homozigozitás
1584246-2841 	 genetikai@végpont
1584251-3606 	 reciprok@termék
1584267-2841, 3606 	 tenyésztőedény
1584276-3606 	 reciprok@transzlokáció
1584277-3606 	 polivalens@konfiguráció
1584279-3606 	 short-patch@reparáció
1584282-3606 	 stabil@,@nem@osztódó@sejt
1584284-3606 	 csíravonal
1584290-2841 	 egéren@végzett@örökletes@transzlokációs@vizsgálat
1584293-3606 	 második@helyet@érintő@mutáció
1584416-4816, 6821 	 hármas@hatású@katalizátor
1584749-6411 	 nemzetközi@szabvány
1584797-2811 	 újrakivándorlás
1585021-6811 	 szilárdágyas@reaktor
1585080-2841 	 hatékonyság
1585328-5631 	 szarvasmarhák@szivacsos@agyvelőbántalma
1585345-2431, 2826 	 helyettesítési@ráta
1585407-6811 	 komplexálás
1585874-48, 52 	 fenntartható@mobilitás
1586432-3226, 3236 	 hozzáférési@hálózat
1586515-2841 	 citotoxikus@T-sejt
1586674-3206, 44 	 portfólió
1587586-3236 	 zöldszám
1588190-3606, 5211, 5641 	 portugál@cápa
1588218-3206, 4406 	 tanulmányi@utalvány
1588379-2841 	 sejttranszformáció
1588385-2841 	 genotoxikus@karcinogén
1589101-48, 4816 	 helymegosztás
1589243-2031, 2451 	 költségalapú@árképzés
1589285-2841 	 agytörzs
1589312-3236 	 digitális@átviteli@sebesség
1589326-2806, 2826, 2836 	 nevelőszülői@gondozás
1589329-1631, 3206 	 intézményes@gyermekgondozás
1589437-2841 	 egészségügyi@eredmények
1589594-5631 	 pislogóhártya
1589597-2841 	 előidézésre@,@illetve@elősegítésre@vonatkozó@vizsgálat
1589657-2841 	 gyógyszergyártási@engedély
1589658-2841 	 forgalombahozatali@engedély
1589680-5211, 5626 	 szisztemikus@növényvédő@szer
1589798-16, 4031 	 piaci@magánbefektető@elve
1590094-6821 	 elzárószelep
1590125-2026 	 várható@élettartam
1590313-6821 	 térfogat-kiszorításos@szivattyú
1590487-3606, 6821 	 vágógyűrűs@szerelvény
1590561-6411, 6821 	 nyomásmérő@műszer
1590576-6411, 6821 	 mérőpálca
1590628-6811 	 elszappanosítási@szám
1590631-3606, 6811 	 gõznyomás
1590640-5211, 5216, 60 	 környezeti@szennyező@anyag
1590833-6411, 6821 	 forgócsukló
1591060-3221, 3236 	 kolofon
1592248-3226, 3236 	 adatátvitel
1592300-3226 	 trönk
1592738-3606, 6416, 6826 	 fotonika
1592741-3226, 3236, 3606, 6826 	 pont-pont@összeköttetés
1592778-3226, 3236 	 szolgáltatásminőség
1592828-3226, 4826 	 műhold
1592829-3226, 4826 	 távközlési@műhold
1592884-3606 	 távérzékelés
1592987-3226 	 adatdigitalizálás
1593001-3226, 3236 	 konnektivitás
1593094-5641 	 oldalvonóhálós@hajó@friss@hal@partra@szállítására
1593101-5211, 5641 	 erszényes@kerítőhálós@hajó
1593104-5641 	 emelőhálós@hajó
1593107-5211, 5641 	 horogsoros@hajó
1593108-5641 	 kézi@horogsoros@hajó
1593109-5641 	 hosszú@horogsoros@hajó
1593114-5641 	 többcélú@hajó
1593115-5641 	 kerítőhálóval@és@bot@nélküli@horgászkészséggel@halászó@hajó
1593119-4821, 5641 	 ballaszttartály
1593120-4821, 5641 	 tömör@gerinc
1593121-4821, 5641 	 lengéscsillapító@gerinc
1593122-4821, 5641 	 fenékvízszivattyú
1593124-4821, 5641 	 hajóorr
1593125-4821, 5641 	 orrmagasság
1593126-4821, 5641 	 sablon@szerinti@szélesség
1593127-4821 	 híd
1593128-4821 	 bulbaorr
1593129-4821, 5641 	 válaszfal
1593131-4821, 5641 	 habvéd
1593140-4821, 5641 	 vízgát
1593141-4821, 5641 	 ütközési@válaszfal
1593142-4821, 5641 	 lakótér
1593143-4821, 5641 	 kabinlépcső
1593146-4821, 5641 	 folyamatos@mennyezet
1593151-4821, 6411 	 sérült@stabilitás
1593152-4821, 5641 	 mozgásképtelen@állapot
1593154-4821, 5641 	 fedélzeti@ház
1593156-4821, 5641 	 legnagyobb@üzemi@merülés
1593158-4821, 5641 	 konstrukciós@vízvonal
1593161-6811 	 ürítőpipa
1593163-4821, 5641 	 kettősfenék
1593165-4821, 5641 	 merülés
1593166-4821, 5641 	 főmotor
1593168-6816 	 tartós@anyag
1593173-48, 6411 	 vészleállító@berendezés
1593178-4821, 5641 	 töltőcső
1593188-5641 	 halászterület
1593190-4821, 5641 	 fartér
1593191-4821, 5641 	 farválaszfal
1593192-4821, 5641 	 halászhajó
1593200-4821, 5641 	 egyenes@fedélzet
1593201-1231, 4821 	 (@valamilyen@)@lobogó@alatt@hajózik
1593202-4821, 5641 	 orrkamra
1593204-4821, 5641 	 mellső@függély
1593205-4821, 5641 	 vízkifolyó@nyílás
1593209-4821, 5641 	 járó
1593215-4811, 4821 	 pörgettyűs@tájoló
1593216-4821, 5641 	 rakodónyílás
1593217-4821, 5641 	 rakodótérfedél
1593218-4821, 6821 	 rakodónyílás-keret
1593221-4821, 5641 	 dőlés
1593222-4821, 5641 	 ablakfedél
1593230-4821, 5641 	 dőléspróba
1593232-4821, 5641 	 metacentrikus@magasság
1593236-6821 	 belső@égésű@motor
1593242-4821, 5641 	 gerincvonal
1593244-4821, 5641 	 vízrebocsátó@berendezés
1593249-4821, 5641 	 mentőcsónak
1593250-4821, 5641 	 mentőtutaj
1593254-4821, 5641 	 terhelt@merülés
1593259-4821, 5641 	 fő@fenékvízcső
1593261-4821, 5641 	 fő@vízvételező@nyílás
1593262-4821, 5641 	 fő@kormányberendezés
1593263-4821, 5641 	 főkapcsolótábla
1593265-4821, 5641 	 folyamatosan@felügyelt@géptér
1593268-4821, 5641 	 legnagyobb@üzemi@előremeneti@sebesség
1593269-4821, 5641 	 legnagyobb@hátrameneti@sebesség
1593270-4821, 5641 	 legnagyobb@üzemi@merülés
1593275-4821, 5641 	 motoros@túlélési@jármű
1593280-56 	 éghetetlen@anyag
1593290-4821, 5641 	 csőalagút
1593292-4821, 5641 	 bukdácsoló@lengés
1593293-4821, 5641 	 a@csavarszárny@emelkedése
1593294-4821, 5641 	 farfelépítmény
1593295-4821, 5641 	 bal@oldal
1593299-4821, 5641 	 hajóközép
1593301-4821, 5641 	 kormányív
1593307-4821, 5641 	 gerincferdeség
1593311-4821, 5641 	 készenléti@mentőcsónak
1593312-4821, 5641 	 kötélzet
1593313-4821, 5641 	 stabilizáló@kar
1593314-4821, 5641 	 stabilizáló@kar@görbéje
1593315-4821, 5641 	 billegés
1593316-4821, 5641, 6411 	 kormánylapát
1593317-4821, 6821 	 kormányszár
1593319-4821, 5641 	 horgonylánc
1593320-4821, 5641, 6821 	 tengerállóság
1593323-4821, 5641 	 tengelyalagút
1593327-4821 	 oldalablak
1593329-4821, 5641 	 oldallemezelés
1593331-4821, 5641 	 horgonygép
1593332-4821, 5641 	 egyfedélzetes@hajó
1593333-4821, 5641 	 testvérhajó
1593337-4821, 5641 	 szondacső
1593339-4821, 5641 	 stabilitás
1593340-4821, 5641 	 stabilizátor
1593342-4821, 5641 	 jobb@oldal
1593345-4821, 5211, 5641, 6411 	 kormányberendezés
1593346-4821, 5641 	 elárasztási@dőlésszög
1593347-4821, 5641 	 orrtőke
1593349-4821, 5641 	 tat
1593354-4821, 5641 	 dőlésszög
1593355-4821, 5641 	 felépítmény
1593356-4821, 5641 	 felépítményfedélzet
1593359-4806, 4821, 5641 	 túlélési@jármű
1593362-4821, 5641 	 kormányrúd
1593364-4821, 5641 	 hosszirányú@billenés
1593372-4821, 5641 	 fedélzetfelhajlás
1593376-4821, 5641 	 vízvonal
1593379-4821, 5641 	 időjárásnak@kitett@fedélzet
1593380-4821, 5641 	 tengerálló@képesség
1593383-4821 	 kormányállás
1593385-4821, 5211, 5641, 6411 	 csörlő
1593387-4821, 5641 	 szükség-kormányberendezés
1593392-4821, 5641 	 alapvonal
1593400-4821, 5641 	 kötélhágcsó
1593405-4821, 5641 	 hátsó@árbocmerevítő@kötél
1593412-4821, 5641 	 hullámképzés
1593416-4821 	 hátsó@függély
1593417-4821 	 kiegyensúlyozott@kormánylapát
1593418-4821, 5641 	 zátonyra@futás
1593440-4821, 5641 	 horgonyzóhely
1593442-4821, 5641 	 horgonyzó@gömb
1593444-4821, 5641 	 horgonyfészek
1593445-4821, 5641 	 horgonyjelölő@bója
1593449-4821, 5641 	 horgonylámpa
1593453-4821, 5641 	 ballaszt
1593462-4821, 5641 	 orrtőketörzs
1593465-4821, 5641 	 kormánykar
1593466-4821, 5641 	 ballasztszivattyú
1593469-4821, 5641 	 ballasztmeneti@merülés
1593478-4821, 5641 	 raktérfogat
1593480-4821, 5641 	 tartalék@külsővízbeömlő
1593481-4821, 6821 	 keret
1593482-4821, 5641 	 szarvasbak
1593483-4821, 5641 	 vízmerő@eszköz
1593489-4821 	 segédüzemi@berendezések
1593492-4821, 5641 	 túlnyúlás
1593495-4821, 5641 	 kormányos
1593497-4821, 5641 	 csónakdaru
1593501-4821, 5641 	 horgonyláncnyílás
1593503-4821, 5641 	 kötélcsörlő
1593506-4821, 5641 	 ballasztolás
1593508-4821, 5641 	 hengeres@bója
1593521-4821, 5641 	 csomólemez
1593522-4821, 5641 	 oldalhullám
1593527-4821, 5641 	 főborda-metszet
1593537-4821 	 veszteglőhely
1593538-4821, 5641 	 vízkiszorítás@súlypontja
1593543-4821, 5641 	 lánckamra
1593545-4821, 5641 	 hajófenék
1593550-4821, 5641 	 fenékvízszívócső
1593552-4821, 5641 	 medersori@lemezelés
1593556-4821, 5641 	 tájoló@állvány
1593560-4821, 5641 	 horgonylánc@végének@bekötése
1593563-4821 	 teltségi@fok
1593565-5641 	 kivetőrúd
1593580-4821, 5641 	 bordarajz
1593594-4821, 5641 	 stabilizáló@uszony
1593595-4821, 5641 	 koporsólemez
1593604-4821, 5641 	 orrhorgony
1593611-4821, 5641 	 rakodó@csörlő
1593619-4821, 5641 	 függőleges@tengelyű@csörlő
1593620-4821, 5641 	 hevederkötél
1593623-4821, 5641 	 fedélzetíveltség
1593624-4821, 5641 	 orrtőke-merevítő
1593628-4821, 5641 	 láncrögzítő
1593629-4821, 5641 	 láncdob
1593632-4821 	 válaszfalfedélzet
1593642-5641 	 páros@vonóhálós@halászattal@foglalkozó@hajó
1593645-5641 	 horgászbotos@tonhalhalászó@hajó
1593646-5641 	 halszállító@hajó
1593649-5641 	 halászati@kutatóhajó
1593677-4821, 5641 	 fenékvízkút
1593682-4821, 5641 	 dobozos@gerinc
1593683-4821, 5641 	 húzóterhelés
1593690-4821, 5641 	 árbocdaru
1593692-4821, 5641 	 mélytank
1593693-4821, 5641 	 fedélzetmerevítő@lemez
1593696-4821, 5641 	 fenékferdeség
1593697-4821, 5641 	 testablak
1593707-4821, 5641 	 cikloidálpropeller
1593711-4821 	 teljes@szélesség
1593720-4821, 6411 	 zárt@felépítmény
1593735-4821, 5641 	 árboc@orrmerevítő@kötele
1593736-4821, 5641 	 előárboc
1593737-4821, 5641 	 orrtőke
1593739-4821, 5641 	 orrfelépítmény
1593743-4821, 5641 	 lemezgerinc
1593752-56 	 tűzészlelés
1593754-4821, 5641 	 fennmaradó@úszóképesség
1593757-1231, 4821 	 lobogó
1593765-4821, 5641 	 térképszoba
1593766-4821 	 konyha
1593769-4821, 5641 	 hossztartó@gerenda
1593772-4821 	 oldalperem
1593773-4821, 5641 	 horgonyzótalaj
1593778-4821, 5641 	 horgonyláncvezető@cső
1593783-4821, 5641 	 legnagyobb@fékezhető@terhelés
1593789-4821, 5641 	 manőverhorgony
1593790-4821, 5641 	 fenék-hosszmerevítő
1593795-4821, 5641 	 függélyek@közötti@hossz
1593796-4821, 5641 	 vízvonalhossz
1593798-4821, 5641 	 mentőgyűrű
1593802-4821 	 üres@merülésvonal
1593806-4821 	 kikötőbója
1593817-4821 	 metacentrum
1593824-4821, 5641 	 kikötőcsörlő
1593837-4821 	 döngetés
1593845-5641 	 hálóbehúzó@motoros@csörlő
1593849-6821 	 légcsavarlapát
1593851-4821, 5641 	 fartőke
1593853-4821, 6821 	 csavartengely
1593854-4821, 5641 	 fenéklemezelés
1593856-4821, 5641 	 révkalauz@hajó
1593874-4821, 5641 	 kormánylapát
1593881-4821, 5641 	 kormánylapátcsap
1593883-4821, 5641 	 kormányvégállási@ütköző
1593885-4821, 5641 	 kormányszekrény
1593888-4821, 5641 	 mozgó@kötélzet
1593891-4821, 5641 	 vízkifolyó@nyílás
1593899-4821, 5641, 6821 	 fedélzet@oldalvonala
1593900-4821, 5641 	 fedélzetvonal
1593901-4821, 5641, 6821 	 mestersor
1593909-4821, 5641 	 tetőablak
1593921-4821, 5641 	 állókötélzet
1593928-4821, 5641 	 fartőke
1593941-4821, 5641 	 lódulás
1593954-4821, 5641 	 vontatócsörlő
1593961-6821 	 turbinalapát
1593964-4821, 5641 	 legfelső@fedélzet
1593967-4821, 5641 	 elárasztási@tényező
1593969-4821, 5641 	 kötéldob
1593971-4821, 5641 	 vízvonalteltség
1593978-4821, 5641 	 kígyózás
1593979-5641 	 öl
1594004-4821 	 határvonal
1594005-4821 	 segélyhívás
1594008-3226, 3606, 48 	 globális@helymeghatározó@rendszer
1594021-4821, 5641 	 visszatérítő@nyomaték
1594035-5641 	 kötélcsörlő
1594038-5641 	 halbölcsőhely
1594045-4821, 5641 	 szabadoldal-fedélzet
1594049-0806, 4821 	 a@merülésvonalakról@szóló@nemzetközi@egyezmény
1594050-4821, 5641 	 kötélvágó
1594062-4821, 5641 	 köbözési@fedélzet
1594064-4821, 5641 	 üres@vízkiszorítás
1594066-4821 	 nettó@űrtartalom
1594067-4821 	 bruttó@űrtartalom
1594075-4821 	 hordképesség
1594091-4821, 5641 	 sablonmagasság
1594100-4821, 5641 	 merülő@lengés
1594103-4821 	 hullámütés
1594105-4821, 5641 	 előresietés
1594112-4821, 5641 	 zsákhorgony
1594122-4821 	 vezérlőállás
1594135-4821, 5641 	 ütköző@ballon
1594136-5641, 6821 	 tulipánosság
1594144-6411, 6811 	 üvegszál-erősítésű@műanyag
1594154-4821 	 dörzsléc
1594158-4821, 5641 	 szél@felőli@oldal
1594159-4821, 5641 	 széltől@védett@oldal
1594162-4821, 5641 	 vízszekrény
1594166-1631, 44 	 munkaerőköltség-felmérés
1594202-48, 4811 	 szállítóeszköz
1594226-1631 	 demográfiai@tendencia
1594305-1631, 44 	 munkaerő-felmérés
1594321-1631 	 relatív@szórás
1594323-4406 	 gyakornok
1594379-2841 	 maximális@tolerálható@dózis
1594380-2841 	 bőrirritáció
1594381-2841 	 szemirritáció
1594387-2841, 3606 	 határérték-vizsgálat
1594388-2841, 6416 	 szomatomotoros@aktivitás
1594393-2841 	 szaruhártya@körüli@vérbőség
1594395-2841, 6416 	 hatásfokozó@típusú@vizsgálat
1594404-3606 	 kromatid@típusú@rendellenesség
1594409-2841 	 citotoxicitás
1594411-2841 	 osztódási@orsót@gátló@vegyület
1594412-3606 	 mitotikus@index
1594414-2841 	 mikronukleusz-vizsgálat
1594415-3606 	 polikromáziás@eritrocita
1594416-3606 	 normokromáziás@eritrocita
1594420-2841, 3606 	 előinkubációs@módszer
1594422-3606 	 felülöntő@agar
1594423-2841 	 kofaktorral@kiegészített@posztmitokondriális@frakció
1594429-2841, 3606 	 revertáns@telep
1594433-2841 	 toxikokinetikai@paraméter
1594439-3606 	 szubsztitúciós@mutáció
1594440-2841 	 citogenetikai@károsodás
1594444-3606 	 forward@mutáció
1594445-3606 	 mitotikus@rekombináció
1594449-2841, 6811 	 szemcseméret@meghatározása
1594451-2841 	 embriotoxicitás
1594454-2841 	 bőrön@át@történő@felszívódás
1594455-2841 	 közvetlen@légcsőbe@juttatás
1594458-2841 	 kórszövettani@vizsgálat
1594459-2841 	 a@krónikus@toxicitás@és@a@rákkeltő@hatás@együttes@vizsgálata
1594460-2841 	 szakaszos@expozíció
1594461-2841 	 folyamatos@expozíció
1594462-2841, 52, 6811 	 biológiai@felhalmozódás
1594465-2841 	 metabolikus@aktiválás
1594471-2841, 3606 	 missense@mutáció
1594473-2841, 3606 	 frameshift@mutagén
1594475-2841 	 enzimindukáló@szer
1594480-3606 	 mitotikus@átkereszteződés
1594487-2841 	 timidin@kináz
1594494-2841, 3606 	 klónozási@hatékonyság
1594498-3606 	 nem@ütemezett@DNS-szintézis
1594499-6811 	 folyadékszcintillációs@módszer
1594502-2841, 3606 	 primer@májsejtkultúra
1594503-2841 	 autoradiográfiás@eljárás
1594504-2841, 3606 	 testvérkromatidcsere-vizsgálat
1594515-3606 	 sejtciklus-kinetika
1594517-2841, 3606 	 egérfoltteszt
1594521-3606 	 transzlokáció-hordozó
1594524-5206 	 aerob@biológiai@tisztítás
1594525-5206 	 anaerob@biológiai@tisztítás
1594533-2841 	 nem@genotoxikus@karcinogén
1594540-6811 	 disszociációs@állandó
1594552-6811 	 alikvot
1594554-6416, 6811, 6821 	 Erlenmeyer-lombik
1594555-6811 	 titrálás
1594566-6811 	 hidrolízis
1594801-4816, 6821 	 csavarkapocs
1595006-48 	 belső@szerelvény
1595022-4816, 6821 	 lengéscsillapító
1595064-4816, 6821 	 csúszásgátló@eszköz
1595401-48, 6821 	 visszajelző@lámpa
1595434-2026, 4811 	 poggyász
1595446-6821 	 súrlódó@gyűrű
1595505-4816, 6811 	 futófelület
1595688-4816, 6821 	 forgóvázkeret
1595797-6821 	 zárvilla
1595998-48, 4816 	 térközszakasz
1596065-4816, 66 	 felsővezeték
1596209-3606, 6411, 6821 	 állandó@terhelés
1596715-4816, 6821 	 ellenív
1596729-4816, 6816 	 vezetősín
1596760-6821 	 nyomatékátalakítás
1596874-4816, 6826 	 vontatási@áram
1596938-2426 	 biztosítékkal@rendelkező@hitelező
1596964-4816, 6821 	 normál@kereszteződés
1597054-4816 	 kiszolgáltatási@érdekbevallás
1597307-6411 	 jellegrajz
1597649-4816 	 iparvágány
1598158-2011, 24, 3226 	 vámalakiságok
1598284-4816, 6411, 6821 	 űrszelvény
