84-1011 	 tagállami@hatáskör
46319-52 	 veszélyeztetett@állatfaj
46320-52 	 veszélyeztetett@növényfaj
46402-52 	 környezeti@veszély
46480-52 	 környezetvédelmi@tanulmány
46484-52 	 környezettechnológia
46501-52 	 berendezési@terv
46506-52 	 erózióvédelem
46600-52 	 állatok@takarmányozása
46619-2416, 52 	 pénzügyek
46739-52 	 erdőrezervátum
46740-52 	 erdészeti@erőforrások
46757-52 	 szabadság
46776-52 	 üzemanyag-fogyasztás
46873-52, 6811 	 ragasztó
46896-1616, 2846, 5206, 5211 	 vadátjáró
46897-52 	 zöld@munkahely
46993-52 	 történelmi@emlékhely
47104-52 	 hulladékégető
47150-52 	 ipari@hulladék
47170-3236 	 információs@infrastruktúra
47243-52 	 nemzetközi@szabványosítás
47292-12, 52 	 igazságosság
47313-52 	 felszínborítás
47317-52 	 földgazdálkodás@és@tervezés
47319-52 	 földtervezés
47325-52 	 földprogram
47332-52 	 földhasználat@tervezése
47396-52 	 jogalkotó@hatóság
47475-52 	 hangerősség
47481-3606, 52 	 kis@veszélyeztetettségű@faj
47532-52 	 tengeri@környezet
47639-52 	 katonai@légi@forgalom
47674-1236, 28, 2821 	 kisebbség
47698-52 	 ellenőrző@adatok
47774-52 	 természeti@terület
47777-52 	 természeti@környezet
47821-2841 	 neurotoxikológia
47842-6811 	 nitrogén-oxidok
47850-3606, 52, 6411 	 zajkibocsátás
47883-52 	 nem@célszervezet
47891-52, 60 	 új@élelmiszer
47902-6621 	 magfúzió
48005-52 	 szerves@hulladék
48110-52 	 perzisztencia
48160-52 	 területi@tervezés
48209-52 	 növényvédelem
48232-52 	 rendőrségi@törvény
48309-52 	 polimerizáció
48311-52, 5606 	 halastó
48352-52 	 írott@sajtó
48355-52 	 nyomástartó@berendezés
48366-52, 66 	 primerenergia-felhasználás
48421-52 	 jólét
48595-52 	 újrahasznosítási@arány
48640-52 	 rehabilitáció
48651-52 	 kiürülés
48673-52 	 kutatáspolitika
48685-52, 5206 	 termelési@maradékanyag
48691-52 	 állásfoglalás
48708-52 	 helyreállítás
48748-52 	 kockázatcsökkentés
48773-3606, 52, 6411 	 gördülési@zaj
48801-52 	 sólepárló
48857-52 	 tengeri@fűágy
48970-52, 6621 	 rekultiváció
49080-52 	 talajlakó@szervezet
49158-52 	 sport
49284-52 	 kátrány
49379-52, 5636 	 faanyag
49426-2006 	 kereskedelempolitika
49472-0806, 12 	 szerződés
49609-52, 6811 	 illékony@szerves@vegyület
49663-52, 66 	 hulladékhő
49677-52 	 termelő
49688-52 	 hulladékszállítás
49795-6616 	 kút
49849-52 	 ifjúság
50171-1006, 1011 	 alapító@rendelet
50230-52, 5216 	 hulladékkeletkezés
50479-52 	 nedves@tömeg
50525-52, 72 	 Északi@-@sarki@-@óceán
50549-5206, 5216 	 éghajlatváltozási@politika
50825-52 	 szennyezett@terület@szennyeződésmentesítése
51131-5211 	 élő@tőzegláp
51492-12 	 megállapítja@saját@joghatóságának@hiányát
52236-10, 1216 	 pénz@és@más@fizetőeszközök@hamisítása
52238-1016, 1216 	 súlyos@testi@sértés
52286-1016, 1216 	 gépjárműbűnözés
52320-1221 	 védelmi@pénz@szedése@és@zsarolás
52344-1216, 24 	 gyanús@ügylet
53486-16, 1626, 4026 	 számvitel
53489-16, 1626, 4026 	 beszámolási@időszak
53529-1211, 4026 	 behajthatatlan@követelés
53531-1631, 24, 4026 	 Fizetésimérleg-kézikönyv
53572-0436 	 központi@kormányzat
53604-1631, 4026 	 az@egyéni@fogyasztás@rendeltetés@szerinti@osztályozása
53607-10, 16, 1631 	 a@termékek@tevékenység@szerinti@osztályozása
53608-1631, 2436, 4026 	 kormányzati@funkciók@osztályozása
53694-1626, 24, 4026 	 rendelkezésre@álló@jövedelem
53751-4026 	 Európai@Monetáris@Rendszer
53766-1626, 1631 	 javak@és@szolgáltatások@„@külföld@”@számlája
53768-1626, 1631 	 az@elsődleges@jövedelmek@és@a@folyó@transzferek@„@külföld@”@számlája
53774-4026 	 névérték
53816-16, 1631 	 az@Európai@Közösségen@belül@folyó@gazdasági@tevékenységek@közös@statisztikai@osztályozási@rendszere
53824-1211, 16, 4026 	 áru
53836-1631, 4026 	 rendelkezésre@álló@bruttó@nemzeti@jövedelem
53895-2011, 4026 	 az@Európai@Unió@integrált@vámtarifája
53955-12, 4026, 52 	 kereskedelem
53982-1626, 4026 	 nemzeti@számlák
53999-16, 1626, 4026 	 nettó@hitelfelvétel
54007-16, 1631, 4026 	 rendelkezésre@álló@nettó@nemzeti@jövedelem
54018-4026 	 névérték
54039-2426 	 rulírozó@hitelmegállapodás@rövid@lejáratú@pénzpiaci@eszköz@jegyzésére
54109-16, 1626, 4026 	 a@folyamatos@leltározás@módszere
54137-4026 	 tulajdonosi@jövedelem
54268-0436 	 tartományi@kormányzat
54293-1626, 4026 	 nemzeti@számlák@rendszere
54396-2031, 24, 4026 	 folyamatban@lévő@munka
55604-3606, 4816, 6821 	 túlkormányzottság
55922-4816 	 felszereltség
59731-4816, 6821 	 közös@nyomócső
60419-4816 	 kerékanya
60548-3606, 4816, 6821 	 alulkormányzottság
60696-4816 	 tengelyenkénti@készlet
60767-4816, 6821 	 fékerőfelosztás
60788-4816, 6821 	 bekoptatás
60807-5206, 6821 	 szénegyensúlyt@feltételező@módszer
60922-3606, 4816 	 hűtőközeg
60936-4816 	 vonógömb
60941-4811, 4816 	 kapcsolófej
61012-4816, 6821 	 átlós@fékkörfelosztás
61017-4816 	 differenciálzár
61223-4816, 6821 	 úszó@féknyereg
61286-4816 	 teljes@pótkocsi
61431-4816, 6821, 6826 	 beültetési@erő
61536-4816, 6821 	 reteszműködtető
61705-4816 	 tárcsafékbetét-egység
61807-4816 	 kinyúlás
61985-4816, 6821 	 S-kulcsos@fék
62024-4816 	 módosítássorozat
62105-6821 	 gyújtógyertyahézag@beállítása
62124-4816 	 tengelyenkénti@vizsgálat
62125-4816, 6821 	 kétkörös@fékrendszer
62203-4816, 6821 	 ütköző
62236-4816, 6821, 6826 	 manipulálás
62314-4816 	 vizsgálat@próbapályán
62344-4816 	 trikromatikus@koordináta
62421-4816 	 belső@hűtésű@féktárcsa
62474-4816 	 a@gyártó@világazonosítója
62916-4816, 52, 6411, 6811 	 oxigénérzékelő
63275-4816 	 névleges@betétszám
63873-4816 	 automatikus@sebességtartó@rendszer
64724-6621, 6826 	 LED-lámpa
65019-4816, 6821, 6831 	 zárhenger
65369-4816 	 hőpajzs
65759-2841 	 vizsgálati@terv
65761-2841 	 termékvonal-kiterjesztés
65820-2416 	 benchmarkolási@gyakorlat
67137-52 	 karibi@térség
67288-12 	 hagyatéki@vagyonkezelés
67985-12 	 hallgatólagos@elismerés
68100-12 	 vonalhajózási@kartell
68506-1216 	 vádemelés
68662-12 	 orvoslás
69006-12 	 ügyvédi@titoktartási@kötelezettség
69070-1211 	 végrendeleti@öröklés
69442-12, 24 	 nemteljesítés
69629-12 	 méltányos@érdekeltség
70731-12, 2846 	 átsorolás
71047-12 	 megalapozott@gyanú
71492-12 	 bírói@mérlegelési@jogkör
72551-12 	 törzsrészvény
72702-04 	 politikai@disszidens
75394-12 	 képviseleti@kereset
75549-12 	 elemi@csapás
77008-12 	 szakmai@mulasztás
77543-1211, 20 	 az@ajánlat@címzettje
77583-0426, 1006 	 egyperces@felszólalás
80201-12 	 végrendelkező
80460-12 	 jogtalan@befolyásolás
80801-12 	 vétség
81063-12 	 összejátszás
81746-12, 2416 	 pervesztes@fél
83114-12 	 örökös
86226-4816, 6821 	 visszakapcsolás-gátló@szerkezet
89389-2416 	 nem@realizált@veszteség
89498-2826, 44 	 aktivizálási@politika
89963-1211 	 leszármazó
89992-3206 	 alacsony@képzettségű@személy
90033-2841 	 kontrollcsoport
97014-2841 	 mediastinitis
104529-1216 	 visszafolyatás
105051-2416 	 fizető@fél
105246-2416 	 meghatalmazott
107343-2416 	 munkafeladat@megkettőzése
108593-2416 	 megbízói@számla
111410-12, 1621, 2416 	 értékpapír-kibocsátó
111787-0436 	 kölcsönmunkaerő
111843-2841 	 valószínűségi@hányados
111873-52 	 vegyi@eljárás
111877-52 	 kémiai@szerkezet
111946-2841, 52 	 visszaélés
111980-52 	 energiaforrás
111998-52 	 kihalt@faj
112225-52 	 szerves@szilíciumvegyület
112384-52 	 differenciált@adóztatás
112417-5211, 5631 	 patás@állat
112469-52, 5206 	 természetikockázat-elemzés
112581-52 	 Kaszpi-tenger
112734-10, 1006 	 „@Területi@kohéziós@politika@”@szakbizottság
112735-10, 1006 	 „@Gazdaság-@és@szociálpolitika@”@szakbizottság
112736-10, 1006 	 „@Oktatás@,@ifjúság@,@kultúra@és@kutatás@”@szakbizottság
112737-1006 	 „@Alkotmányos@ügyek@,@európai@kormányzás@,@a@szabadság@,@a@biztonság@és@a@jog@érvényesülésének@térsége@”@szakbizottság
112738-1006 	 „@Külkapcsolatok@és@decentralizált@együttműködés@”@szakbizottság
112740-1006 	 „@Fenntartható@fejlődés@”@szakbizottság
112771-7611 	 Súlyos@Bűnözés@Elleni@Osztály
113056-0806, 1236, 7221 	 Az@emberi@jogok@és@a@népek@jogainak@afrikai@chartája
113108-04, 1236, 28 	 etnikai@tisztogatás
113123-1236 	 Emberi@Jogok@és@Szabadságjogok@Nemzeti@Bizottsága
113142-3226, 3236, 3606 	 képernyő
113179-0416 	 relatív@többségi@rendszer
113184-1231 	 vízum
113211-5641 	 műholdas@nyomkövető@eszköz
113227-0421, 0436 	 lordpecsétőr
113228-0436, 12 	 lordkancellár
113263-1236, 28 	 Bevándorlók@Egyesült@Királyságbeli@Tanácsadó@Szolgálata
113338-1236, 4016 	 Egyiptomi@Emberi@Jogi@Szervezet
113339-24 	 mentőcsomag
113366-1616 	 francia@tengerentúli@terület
113408-04, 0416, 12 	 független@jelölt
113429-6621 	 szennyezett@felületű@tárgy
113487-1611, 7616 	 Arab@Együttműködési@Tanács
113548-1236, 2841 	 Rehabilitációs@és@Kutatóközpont@a@Kínzások@Áldozataiért
113549-2406, 2411 	 dán@korona
113565-04, 0411, 1236 	 Izraeli@Emberi@Jogi@Információs@Központ@a@Megszállt@Területeken
113619-1631, 2446 	 bruttó@hozzáadott@érték
113635-1236, 32, 7216 	 Emberi@Jogok@Amerikaközi@Intézete
113826-0431 	 beépülés
113854-2006, 7611 	 az@EFTA-államok@Állandó@Bizottsága
113877-1236, 28 	 Önsegítő@Csoport@Eltűnt@Hozzátartozóink@Hollétének@Felderítéséért
113884-1236 	 emberi@jogi@képviselő
113910-4811, 4816 	 mozgásérzékelő
113946-04, 0406, 1236 	 Mozgalom@az@Ogoni@Nép@Túléléséért
113979-1631, 3606, 7611 	 kísérleti@fejlesztés
113986-1236, 28 	 WCIP
113990-0411 	 Romániai@Magyar@Demokrata@Szövetség
114035-0411 	 Flamand@Érdek(párt)
114124-5631 	 előkeverék
114216-2426 	 eszközarányos@jövedelmezőség
114300-12, 1236 	 Fekete@Ügyvédek@Szövetsége
114301-12, 1236 	 NADEL
114304-12, 1206, 1236 	 a@fekete@közösségek@fejlesztéséről@szóló@törvény
114305-12, 1206, 1236 	 a@népesség-nyilvántartási@törvény@hatályon@kívül@helyezéséről@szóló@törvény
114306-12, 1206, 1236 	 a@földtulajdont@faji@alapon@szabályozó@rendelkezések@megszüntetéséről@szóló@törvény
114307-12, 1206, 1236 	 a@lakóhely@szerinti@elkülönítésről@szóló@törvény
114308-12, 1206, 1236 	 földtörvények
114702-6611 	 cirkulációs@fluidágyas@tüzelés
114910-3606, 56 	 homokos@vályog
115668-3226 	 hírügynökség
116015-2406, 2411 	 svéd@korona
116368-52, 6811 	 Környezettoxikológiai@és@Kémiai@Társaság
116440-2826, 7206 	 Hajléktalanokkal@Foglalkozó@Nemzeti@Szervezetek@Európai@Szövetsége
116473-2841, 6811, 7206 	 Gyógyszeripari@Egyesületek@Európai@Szövetsége
116500-3226, 4016, 7206 	 Eutelsat
116544-48, 4816, 7206 	 Európai@Vasutak@Közössége
116679-2836 	 kapcsolattartó@intézmény
116804-2836 	 társadalombiztosítás
116809-1236, 2826 	 hajléktalanság
116852-1236, 7206 	 Konferencia@az@emberi@dimenzióról
116859-20, 68 	 Európai@Kereskedelmi@és@Iparkamarák@Szövetsége
116941-1236, 7206 	 Rasszizmusellenes@Hálózat@az@Egyenlőségért@Európában
116949-0411, 1016 	 Európai@Szocialisták@Pártja
116954-0821, 7206 	 a@Varsói@Szerződés@Szervezete
117127-24 	 tőkeinjekció
117277-68 	 alapanyag
117353-6416 	 innovációmenedzsment
117372-24 	 kísérő@intézkedés
117386-3606 	 ipari@metrológia
117659-32, 3606, 52, 5211, 56, 5621, 66 	 víztartó@réteg
117667-1236, 2811 	 menedékjog@iránti@kérelem
117697-0821 	 vegyi@fegyver
117704-28, 3236 	 virtuális@valóság
117732-1216, 1236, 4416 	 szexuális@zaklatás
117737-24, 4026 	 passzív@időbeli@elhatárolások
117786-1236, 44 	 a@nők@és@férfiak@méltóságának@munkahelyi@védelme
117823-3236, 6411, 6416 	 robotika
117872-1236 	 Emberi@Jogi@Osztály
117913-0426, 1006 	 indokolás
118022-0426, 1006 	 Elnökség
118035-0426, 1006 	 Quaestorok@Kollégiuma
118094-04, 1016 	 bizottsági@küldöttség
118238-3236, 68 	 számjegyvezérlés
118249-24 	 tőkemegfelelés
118411-04, 1236, 28, 7606 	 nemzetközi@nőnap
118436-0426, 1006 	 közös@ülés
118511-0421 	 főtitkár
118588-0426, 1006 	 a@Bizottság@mentesítése
118590-0426, 1006 	 előzetes@kérdés
118592-0426, 1006 	 személyes@nyilatkozat
118593-0426, 1006 	 eljárási@indítvány
118598-0426, 1006 	 szavazás@vitatása
118599-0426, 1006 	 név@szerinti@szavazás
118601-0426, 1006 	 sürgősségi@eljárásra@irányuló@kérelem
118604-0426, 1006 	 kézfelemeléssel@szavaz
118606-08, 1006 	 tárgyalási@meghatalmazás
118609-0426, 1006 	 befejezetlen@ügyek
118610-0426, 1006 	 megfigyelő
118612-0426, 1006 	 jogalkotási@állásfoglalás-tervezet
118615-0426, 1006 	 tárgytalanná@válik
118616-0426, 1006 	 egyszerűsített@eljárás
118623-0426, 1006 	 rendreutasít
118624-0426, 1006 	 mentelmi@jog@felfüggesztése
118625-0426, 1006 	 korelnök
118650-1011, 3231 	 Jogalkotási@Figyelő
118700-0426, 1006 	 vizsgálóbizottság
118724-1016, 1231, 1236, 2811 	 tartózkodási@engedély
118774-0426, 1016 	 uniós@ügyekre@szakosodott@parlamenti@bizottságokból@álló@konferencia
118814-0411, 1016 	 Európai@Néppárt
119033-0421, 0436, 1016, 3606 	 Parlamenti@Kutatás@és@Dokumentáció@Európai@Központja
119051-1016, 12 	 választottbírói@testület
119741-56 	 száraz@tömeg
119879-56 	 borseprő
119897-3606, 6626 	 napsugárzásáram
120021-1016, 1236, 4016 	 Európai@Emberi@Jogi@Alapítvány
120099-0426, 1006 	 lemondás
120189-0436, 48 	 Közlekedési@,@Hírközlési@és@Vízügyi@Minisztérium
120190-0436, 52 	 Vízgazdálkodási@Osztály
120191-0436, 24 	 Állami@Vagyonügynökség
120192-0436, 52 	 Környezetvédelmi@Minisztérium
120193-0436 	 Magyar@Elektrotechnikai@Ellenőrző@Intézet
120197-0436, 24 	 Állami@Vagyonkezelő@Rt.
120211-52 	 légszennyező@anyag
120218-68 	 meglévő@létesítmény
120315-52 	 nitrogén@-@oxid@-@kibocsátás
120331-5206, 68 	 utóégető@berendezés
120392-52 	 bioakkumulatív
120396-6836 	 irányított@forgácselrendezésű@lemez
120408-1236 	 Közös@Segélyezési@Partnerség
120684-52 	 vízi@ökoszisztéma
120901-3606 	 pedológia
120903-52 	 élőbevonat
121129-2006, 3236, 6806 	 eredetiberendezés-gyártó
123091-1236, 28 	 Nemzeti@Indián@Alapítvány
123103-1236 	 Emberi@Jogvédő@Tanács
123279-0806, 1016, 5206 	 lisszaboni@megállapodás
123303-0421, 1016 	 ülések@naptári@ütemterve
123367-1016, 1236 	 Szaharov-díj@a@gondolatszabadságért
123369-0426, 1006 	 munkadokumentum
123404-0426, 1006 	 időközi@jelentés
123409-0426, 1006 	 bizottsághoz@történő@visszautalás
123410-0421, 1016 	 a@vita@lezárása
123411-0426, 1006 	 nyomonkövetési@eljárás
123413-0426, 1006 	 parlamenti@vegyes@bizottság
123416-0426, 1006 	 szóbeli@választ@igénylő@kérdés
123418-0426, 1006 	 vizsgálati@jog
123419-0426, 1006 	 elektronikus@szavazás
123420-0426, 1006 	 szabad@mandátum
123426-0426, 1006 	 kisebbségi@vélemény
123442-0426, 1006 	 szóbeli@módosítás
123448-0426, 1006 	 Bizottsági@Elnökök@Értekezlete
123449-0426, 1006 	 állandó@parlamentközi@küldöttség
123453-0426, 1006 	 titoktartási@céllal
124506-0821, 6621 	 nukleáris@leszerelés
124691-0426, 1006 	 elsőbbséget@élvező@kérdés
124692-0426, 1006 	 elsőbbséget@nem@élvező@kérdés
124693-0426, 1006 	 zárt@ülés
124694-0426, 1006 	 levél@formájában@megfogalmazott@vélemény
124698-0426, 1006 	 rendkívüli@ülés
124710-1011 	 jogalkotási@kezdeményezés
124720-0426, 1011 	 harmadik@olvasat
124723-0426, 1006 	 bizottsági@szakasz
124739-0426, 1006 	 egyeztetőbizottságba@delegált@küldöttség
124747-0426, 1006 	 az@ombudsman@felmentése
124752-0426, 1006 	 további@ülés
124810-6811 	 súlyos@balesetek@jelentési@rendszere
124830-0426, 1006 	 akarathiba
124837-0426, 1006 	 ülésnap
124839-0426, 1006 	 ülésszak@megszakítása
124841-0426, 1006 	 bizottsági@ülés
124844-0426, 1006 	 titkos@szavazás
124845-0426, 1006 	 szavazatszámláló
124846-0426, 1006 	 nyitóbeszéd
124848-0416, 0426, 1006 	 a@leadott@szavazatok@abszolút@többsége
124849-0426, 1006 	 szavazólap
124856-0426, 1006 	 felszólalási@idő
124866-0426, 1006 	 írásbeli@választ@igénylő@kérdés
124868-0426, 1006 	 kérdések@órája
124869-0426, 1006 	 elfogadhatóság
124877-0426, 1006 	 együttes@vita
124878-0426, 1006 	 írásbeli@nyilatkozat
124882-0426, 1006 	 előadó
124883-0426, 1006 	 napirendtervezet
124884-0426, 1006 	 végleges@napirendtervezet
124887-0426, 1006 	 ülésterem
124889-0426, 1006 	 ülések@lebonyolítása
124894-0426, 1006 	 szó@szerinti@jegyzőkönyv
124895-0426, 1006 	 ügyrendi@javaslat
124897-0426, 1006 	 felszólalás
124899-0426, 1006 	 bizottsághoz@utalás
124906-0426, 1006 	 ülés@félbeszakítása
124907-0426, 1006 	 ülés@berekesztése
124908-0426, 1006 	 az@eljárások@nyilvánossága
124913-0426, 1006 	 rendes@tag
124918-0426, 1006 	 albizottság
124919-0426, 1006 	 tanulmányút
124920-0426, 1006 	 tényfeltáró@út
124921-0426, 1006 	 bizottság@elnöksége
124924-0426, 1006, 1021 	 módosítástervezet
124925-0426, 1006 	 nem@jogalkotási@jelentés
124926-0426, 1006 	 illetékes@bizottság
124927-0426, 1016 	 véleménynyilvánításra@felkért@bizottság
124928-0426, 1006 	 vélemény@előadója
124929-0426, 1006 	 saját@kezdeményezésű@jelentés
124930-0426, 1006 	 parlamentközi@küldöttség
124931-0426, 1006 	 petíció
124934-0426, 1006 	 meghallgatás
124935-0421, 1006 	 petíció@benyújtója
124938-0421, 0436, 1016 	 Főtitkárság
124948-0426, 1006 	 pénzügyi@érdekeltségekről@szóló@nyilatkozat
124949-0426, 1006 	 kiegészítő@kérdés
124950-0426, 1006 	 mentesítést@megad
124951-0426, 1006 	 bizalmas@eljárás
124953-0426, 1006 	 megrovás
124954-0426, 1006 	 első@alelnök
124962-0426, 1006 	 politikai@hovatartozás
125003-0426, 1006 	 szankció
125014-0426, 1006 	 a@felszólalók@listája
125043-1236 	 Menekültügyi@Információ-@,@Vélemény-@és@Adatcsereközpont
125113-5206, 6606, 6826 	 kompakt@fénycső
125115-2841 	 angiotenzin-konvertáló@enzim
125149-4816 	 motortér
125164-0821, 1236 	 humanitárius@feladat
125170-0821, 1236 	 mentési@feladat
125189-48, 6821 	 szívókamra
125214-48, 6821 	 leszabályozási@pont
125263-1236, 7606 	 az@Egyesült@Nemzetek@menekültügyi@főbiztosa
125283-1236, 7606 	 az@Egyesült@Nemzetek@Kínzás@Elleni@Bizottsága
125303-0816, 1236, 7606 	 Nemzetközi@Menekültügyi@Szervezet
125325-0806, 1236, 7606 	 Egyezmény@az@emberkereskedés@és@mások@prostitúciója@kihasználásának@elnyomásáról
125332-1236, 24, 28, 7606 	 az@Egyesült@Nemzetek@Afganisztáni@Humanitárius@és@Gazdasági@Segélyprogramokat@Koordináló@Hivatala
125364-1236, 7606 	 Nemzetközi@Emberi@Jogi@Konferencia
125367-0806, 5206, 7606 	 ENSZ@Emberi@Környezet@Konferencia
125386-1236, 7606 	 Az@Emberi@Jogok@Egyetemes@Nyilatkozata
125396-1236, 28, 7606 	 a@világ@bennszülötteinek@nemzetközi@éve
125410-1236, 28, 2826, 7606 	 Faji@Megkülönböztetés@Megszüntetésének@Bizottsága
125420-1236, 7606 	 az@emberi@jogok@előmozdításával@és@védelmével@foglalkozó@albizottság
125423-1236, 28, 7606 	 a@család@nemzetközi@éve
125427-1236, 28, 7606 	 Humanitárius@Ügyek@Osztálya
125443-1236, 1611, 7606 	 nemzetközi@népesedési@és@fejlesztési@konferencia
125510-12, 1206, 52 	 szennyezés@elleni@védekezésről@szóló@rendelet
125586-0426, 1006 	 eljárási@szabályzat
125609-0426, 1006 	 állásfoglalásra@irányuló@indítvány
125610-0426, 1006 	 végrehajtási@intézkedés@tervezete
125615-0436, 1236, 28 	 bevándorlási@ad@hoc@munkacsoport
125621-5606, 7621 	 összesített@támogatottsági@mutató
125641-0426, 1006 	 független@képviselő
125644-0421, 1016 	 az@Európai@Parlament@tagjainak@közvetlen@és@általános@választójog@alapján@történő@választásáról@szóló@1976.@szeptember@20-i@okmány
125664-1006, 12, 1236 	 petíciós@jog
125681-0436, 1016 	 közszolgáltatási@kötelezettség
125705-1016, 2841 	 gyógyszerek@közösségi@nyilvántartása
125740-0426, 1006 	 az@ülésről@készült@jegyzőkönyv
125754-0426, 1006 	 kötött@mandátum
